,Q Number,Quarters,Performance,Weights,Index Returns,Returns,Operating Margins,ROE,ROA,Dividend Yield,Earnings Yield,Debt to Equity,Book Value Per Share,Profit Margin,Total Debt to Total Asset
JG SUMMIT HOLDINGS INC,2,6/29/18,0,4.39,-0.0985,-0.2026,11.96,13.76,156369.18,0.00,0,64.58,36.93,7.12,29.9
JG SUMMIT HOLDINGS INC,3,9/28/18,1,4.42,0.0116,0.079,10.13,12.44,192857.49,0.00,0,66.86,36.77,6.08,29.99
JG SUMMIT HOLDINGS INC,4,12/28/18,1,4.75,0.026,0.0324,13.76,12.55,191047.19,0.00,0,66.32,37.92,8.86,29.7
JG SUMMIT HOLDINGS INC,1,3/29/19,1,4.98,0.0609,0.14,15.28,13.15,211558.15,0.00,0,72.09,39.33,14.32,31.35
JG SUMMIT HOLDINGS INC,2,6/28/19,1,5.51,0.0099,0.0614,11.15,12.75,228253.27,-1.90,7.08,71.34,39.74,5.3,32.16
JG SUMMIT HOLDINGS INC,3,9/30/19,1,6.12,-0.0276,0.0757,17.66,12.72,225359.21,0.00,0,71.97,40.52,23.49,31.68
JG SUMMIT HOLDINGS INC,4,12/27/19,1,5.74,0.0047,0.1145,11.04,11.53,239527.89,-7.75,8.81,73.6,41.09,2.88,32.43
JG SUMMIT HOLDINGS INC,1,3/31/20,0,6.13,-0.3191,-0.3527,-6.17,6.54,236792.38,-8.83,3.98,76.59,40.86,-5.67,33.06
JG SUMMIT HOLDINGS INC,2,6/30/20,1,5.99,0.1666,0.24,-0.91,3.79,245401.25,-13.86,2.39,81.31,41.24,1.74,34.15
JG SUMMIT HOLDINGS INC,3,9/30/20,0,6.17,-0.0553,-0.0717,-10.86,0.11,254867.9,0.00,0,83.78,40.99,-1.74,34.21
JG SUMMIT HOLDINGS INC,4,12/29/20,0,5.69,0.2175,0.1894,0.34,-2.2,226718.22,-7.26,-1.4,83.69,40.64,0.2,34.55
JG SUMMIT HOLDINGS INC,1,3/31/21,0,5.53,-0.0976,-0.1655,3.16,-0.74,272206.22,-6.69,-0.39,87.51,40.62,1.55,35.35
JG SUMMIT HOLDINGS INC,2,6/30/21,0,5.72,0.0712,0.0402,-4.73,-1.28,245183.51,-0.94,-0.76,74.25,42.98,-7.13,31.33
JG SUMMIT HOLDINGS INC,3,9/30/21,1,4.52,0.0074,0.0459,-3.16,-0.6,244650.94,-2.90,-0.5,75.29,44.33,15.2,32.63
JG SUMMIT HOLDINGS INC,4,12/31/21,0,5.07,0.0244,-0.1846,-1.14,-0.89,228793,-0.92,-0.63,77.37,44.04,-4.54,32.87
JG SUMMIT HOLDINGS INC,1,3/31/22,1,4.72,0.0113,0.1566,3.77,-0.46,260164.87,-2.02,-0.41,83.68,43.22,0.05,34.78
JG SUMMIT HOLDINGS INC,2,6/30/22,0,4.31,-0.1455,-0.2055,0.67,0.38,264572.78,-2.24,0.41,86.95,42.98,2.82,35.39
JG SUMMIT HOLDINGS INC,3,9/30/22,0,4.52,-0.0673,-0.1366,-0.64,0.71,294187.02,0.00,0,89.04,42.3,2.08,35.46
JG SUMMIT HOLDINGS INC,4,12/29/22,1,4.28,0.1438,0.1962,8.78,3.01,283792.95,12.82,2.75,79.17,43.56,6.37,32.83
JG SUMMIT HOLDINGS INC,1,3/31/23,0,3.96,-0.0102,-0.0477,10.33,4.53,295669.11,16.80,4.43,84.88,43.59,7.01,34.36
JG SUMMIT HOLDINGS INC,2,6/30/23,0,3.46,-0.0049,-0.072,10.11,6.99,313353.7,0.00,0,85.8,43.79,5.98,34.7
JOLLIBEE FOODS CORP,4,12/29/16,0,2.58,-0.1034,-0.2146,6.24,19.45,-4241.37,-0.16,3.09,32.95,33.28,5.23,16.54
JOLLIBEE FOODS CORP,1,3/31/17,0,2.58,0.0689,0.018,6.14,19.8,-3505.9,0.38,3.08,31.67,33.95,6.01,15.97
JOLLIBEE FOODS CORP,2,6/30/17,0,2.95,0.0727,0.0329,5.42,19.9,-4836.25,0.00,0,29.61,35.61,4.95,15.01
JOLLIBEE FOODS CORP,3,9/29/17,1,2.9,0.0419,0.1951,5.5,20.83,-6403.6,0.00,0,37.85,37.53,4.69,17.95
JOLLIBEE FOODS CORP,4,12/29/17,0,3.68,0.0474,0.0377,5.66,19.96,-7455.58,0.00,0,44.74,40.73,5.17,21.14
JOLLIBEE FOODS CORP,1,3/28/18,1,3.44,-0.0676,0.1818,5.94,20.35,1156.33,0.00,0,48.82,41.04,5.59,21.81
JOLLIBEE FOODS CORP,2,6/29/18,0,3.32,-0.0985,-0.1204,4.67,19.6,1277.92,0.00,0,54.12,42.96,5.12,23.8
JOLLIBEE FOODS CORP,3,9/28/18,0,3.68,0.0116,-0.0228,6.57,20.98,42726.03,0.00,0,136.53,43.56,4.59,44.44
JOLLIBEE FOODS CORP,4,12/28/18,1,3.77,0.026,0.1354,5.2,19.99,7216.9,0.00,0,55.7,45.48,3.62,26.04
JOLLIBEE FOODS CORP,1,3/29/19,1,3.31,0.0609,0.0864,3.49,18.01,7058.64,0.00,0,53.41,45.72,2.38,24.71
JOLLIBEE FOODS CORP,2,6/28/19,0,2.68,0.0099,-0.111,3.05,16.17,24309.81,4.75,3.3,90.38,47.4,3.88,34.33
JOLLIBEE FOODS CORP,3,9/30/19,0,2.6,-0.0276,-0.2122,2.94,12.83,69061.43,0.00,0,172.54,49.67,5.97,49.13
JOLLIBEE FOODS CORP,4,12/27/19,0,1.85,0.0047,-0.027,-2.96,4.89,43421.9,9.50,2.76,88.82,73.11,-4.25,37.49
JOLLIBEE FOODS CORP,1,3/31/20,0,2.1,-0.3191,-0.5074,-23.27,-6.2,48178.5,-19.09,-2.43,154.17,63.79,-44.08,48.98
JOLLIBEE FOODS CORP,2,6/30/20,1,2.29,0.1666,0.3158,-11.17,-14.01,49453.36,-6.88,-5.27,159.45,61.45,-5.27,49.99
JOLLIBEE FOODS CORP,3,9/30/20,1,2.54,-0.0553,0.0357,-7.83,-20.9,45385.34,0.00,0,151.17,63.5,5.56,48.79
JOLLIBEE FOODS CORP,4,12/29/20,1,2.55,0.2175,0.3462,4.28,-13.54,46288.91,-31.22,-5.21,148.68,62.42,0.44,49.26
JOLLIBEE FOODS CORP,1,3/31/21,1,2.87,-0.0976,-0.0937,3.75,-4.78,43473.86,-8.63,-1.41,143.34,62.7,2.66,47.69
JOLLIBEE FOODS CORP,2,6/30/21,1,2.73,0.0712,0.2075,2.54,1.71,49647.99,-4.55,0.43,126.74,38.08,4.22,45.02
JOLLIBEE FOODS CORP,3,9/30/21,0,2.79,0.0074,-0.0403,5.48,9.44,57294.73,8.82,2.62,130.05,58.52,7.29,45.76
JOLLIBEE FOODS CORP,4,12/31/21,1,2.81,0.0244,0.0556,4.64,10.01,58490.73,9.39,2.71,120.16,59.66,5.39,44.38
JOLLIBEE FOODS CORP,1,3/31/22,1,2.98,0.0113,0.0397,5.86,12.32,56851.63,9.88,3.74,120.2,60.81,5.36,43.37
JOLLIBEE FOODS CORP,2,6/30/22,1,3.55,-0.1455,-0.0951,5.45,18.61,66623.52,6.14,4.14,131.26,63.95,3.86,44.94
JOLLIBEE FOODS CORP,3,9/30/22,1,3.13,-0.0673,0.1248,3.06,14.8,64332.88,0.00,0,126.15,64.44,0.52,43.73
JOLLIBEE FOODS CORP,4,12/29/22,0,3.03,0.1438,0.0044,6.53,16.67,62396.87,6.00,4.64,120.93,64.54,3.74,43.71
JOLLIBEE FOODS CORP,1,3/31/23,0,3.22,-0.0102,-0.0261,6.58,17.76,58870.6,5.68,4.69,119.89,65.33,3.83,43.16
JOLLIBEE FOODS CORP,2,6/30/23,1,3.15,-0.0049,0.0679,7.01,18.79,60619.43,0.00,0,118.37,68.05,3.96,42.88
LT GROUP INC,4,12/29/16,0,1.31,-0.1034,-0.1791,9.12,4.71,-159783.21,3.76,3.64,24.27,12.65,14.84,5.08
LT GROUP INC,1,3/31/17,1,1.12,0.0689,0.2755,10.46,4.61,-188065.83,2.94,3.95,20.61,12.95,14.13,4.22
LT GROUP INC,2,6/30/17,0,1.28,0.0727,-0.0824,9.77,4.79,-163455.16,0.00,0,13.92,13.29,14.52,2.99
LT GROUP INC,3,9/29/17,1,1.29,0.0419,0.1959,14.2,4.9,-143198.26,0.00,0,20.42,13.71,24.1,4.35
LT GROUP INC,4,12/29/17,1,1.39,0.0474,0.066,14.02,5.55,-161410.93,0.00,0,15.34,13.97,21.2,3.26
LT GROUP INC,1,3/28/18,1,1.48,-0.0676,0.0032,6.1,5.03,-132675.4,0.00,0,19.04,14.35,28.98,4.05
LT GROUP INC,2,6/29/18,1,1.16,-0.0985,-0.0383,12.25,5.43,-126516.87,0.00,0,26.05,14.61,19.09,5.42
LT GROUP INC,3,9/28/18,0,1.3,0.0116,-0.2035,6.2,4.45,-116106.77,0.00,0,35.18,15.98,17.09,7.41
LT GROUP INC,4,12/28/18,1,1.19,0.026,0.1528,11.96,4.46,-112483.82,0.00,0,45.59,16.6,20.18,9.55
LT GROUP INC,1,3/29/19,0,1.11,0.0609,-0.0301,10.88,5.24,-108661.92,0.00,0,57.66,16.7,20.49,11.59
LT GROUP INC,2,6/28/19,0,1.05,0.0099,-0.0559,12.91,5.65,-97620.62,-863.79,6.32,65.12,16.53,23.3,12.36
LT GROUP INC,3,9/30/19,0,0.9,-0.0276,-0.0829,17.95,7.08,-84807.45,0.00,0,51.39,17.27,33.3,10.31
LT GROUP INC,4,12/27/19,0,0.9,0.0047,-0.1406,8.35,6.77,-133870.37,-114.84,13.61,42.08,16.79,24.66,8.66
LT GROUP INC,1,3/31/20,1,0.75,-0.3191,-0.3072,0.78,5.44,-165299.26,148.37,11.36,44.02,16.72,17.33,9.15
LT GROUP INC,2,6/30/20,0,0.89,0.1666,-0.0361,16.43,5.86,-105695.68,"1,398.29",10.84,46.12,16.78,26.59,10.08
LT GROUP INC,3,9/30/20,1,1.06,-0.0553,0.125,-15.52,1.21,-225612.36,0.00,0,63.39,17.14,20.25,11.97
LT GROUP INC,4,12/29/20,1,1.21,0.2175,0.4556,9.97,1.28,-174431.94,74.44,1.61,45.49,17.3,29.36,9.27
LT GROUP INC,1,3/31/21,1,1.08,-0.0976,0.0305,-58.01,-5.9,-157708.36,149.98,-7.6,44.35,16.51,-12.5,8.95
LT GROUP INC,2,6/30/21,0,0.84,0.0712,-0.0444,13.96,-6.11,-190404.24,117.87,-10.23,44.51,17.05,27.26,9.01
LT GROUP INC,3,9/30/21,0,0.79,0.0074,-0.2171,55.27,3.19,-232184.21,52.42,5.59,45.52,17.57,42.51,9.14
LT GROUP INC,4,12/31/21,0,0.69,0.0244,-0.0198,16.92,3.97,-242297.81,23.88,7.82,33.18,17.76,29.52,7.02
LT GROUP INC,1,3/31/22,0,0.74,0.0113,-0.101,22.88,13.7,-251383.76,39.93,29.35,29.25,18.22,37.52,6.25
LT GROUP INC,2,6/30/22,1,0.8,-0.1455,-0.0899,0.96,11.91,-166946.29,44.44,25.5,40.59,18.33,19.59,8.81
LT GROUP INC,3,9/30/22,1,0.78,-0.0673,0.0198,0.98,4.98,-218577.35,0.00,0,36.29,18.38,16,7.92
LT GROUP INC,4,12/29/22,0,0.83,0.1438,0.1138,12.53,4.66,-215973.87,-11.46,8.6,28.38,18.74,24.51,6.54
LT GROUP INC,1,3/31/23,1,0.8,-0.0102,0.0761,25.54,5.43,-222483.47,29.33,10.63,38.5,19.05,23.68,8.67
LT GROUP INC,2,6/30/23,0,0.77,-0.0049,-0.0394,12.92,7.17,-265983.78,0.00,0,23.26,19.34,20.59,5.27
MANILA ELECTRIC COMPANY,4,12/29/16,0,1.56,-0.1034,-0.1463,9.11,35.84,-10815,5.81,8.27,57.5,61.16,7.24,13.17
MANILA ELECTRIC COMPANY,1,3/31/17,0,1.54,0.0689,0.034,9.97,32.85,-12623,8.69,8.58,53.56,66,7.63,13.17
MANILA ELECTRIC COMPANY,2,6/30/17,0,1.6,0.0727,-0.0482,9.67,37.34,-15136,0.00,0,56.14,62.74,7.4,13.18
MANILA ELECTRIC COMPANY,3,9/29/17,1,2.01,0.0419,0.0851,8.5,35.64,-17214,0.00,0,54.08,65.31,6.54,13.27
MANILA ELECTRIC COMPANY,4,12/29/17,1,2.09,0.0474,0.1611,9.51,39.24,-23085,0.00,0,57.19,61.17,7.5,12.55
MANILA ELECTRIC COMPANY,1,3/28/18,1,2.33,-0.0676,-0.0323,8.71,35.55,-21636,0.00,0,52.52,66.65,8.35,12.31
MANILA ELECTRIC COMPANY,2,6/29/18,1,2.2,-0.0985,0.1182,8.8,36.08,-21632,0.00,0,52.95,66.34,8.12,12.15
MANILA ELECTRIC COMPANY,3,9/28/18,0,2.4,0.0116,-0.0439,10.37,36.55,-24954,0.00,0,52.46,72.8,6.24,12.93
MANILA ELECTRIC COMPANY,4,12/28/18,1,2.26,0.026,0.1176,9.1,39.4,-23058,0.00,0,45.25,67.49,7.52,10.34
MANILA ELECTRIC COMPANY,1,3/29/19,0,2.27,0.0609,0,9.47,38.13,-15572,0.00,0,37.37,73.44,7.07,9.25
MANILA ELECTRIC COMPANY,2,6/28/19,1,2.23,0.0099,0.0184,9.97,39.19,-19355,6.44,7.42,37.19,73.7,8.29,9.35
MANILA ELECTRIC COMPANY,3,9/30/19,0,1.91,-0.0276,-0.0439,10.76,37.58,-30123,0.00,0,48.4,74.72,6.43,11.55
MANILA ELECTRIC COMPANY,4,12/27/19,0,1.96,0.0047,-0.1432,4.02,36.19,-42179,3.28,10.72,54.2,65.87,3.74,10.9
MANILA ELECTRIC COMPANY,1,3/31/20,1,2.01,-0.3191,-0.2902,5.81,28.39,-8390,2.57,7.58,51.26,69.72,5.85,10.75
MANILA ELECTRIC COMPANY,2,6/30/20,1,2.14,0.1666,0.1911,8.84,26.97,1337,2.37,7.1,51.76,68.95,6.13,10.89
MANILA ELECTRIC COMPANY,3,9/30/20,1,1.9,-0.0553,0.0112,12.47,25.68,-18787,0.00,0,49.73,70.3,8.29,10.29
MANILA ELECTRIC COMPANY,4,12/29/20,0,1.96,0.2175,0.0775,14.54,37.08,12007,-1.49,9,109.41,66.13,6.7,19.41
MANILA ELECTRIC COMPANY,1,3/31/21,1,1.86,-0.0976,-0.0685,8.56,38.57,22472,-1.77,9.8,100.41,71.14,6.65,19.36
MANILA ELECTRIC COMPANY,2,6/30/21,0,1.98,0.0712,0.0191,9.08,40.01,13331,5.98,9.46,82.9,71.91,7.96,16.18
MANILA ELECTRIC COMPANY,3,9/30/21,1,1.9,0.0074,0.075,5.99,33.64,18096,-1.59,8.82,86.08,84.48,8.03,18.75
MANILA ELECTRIC COMPANY,4,12/31/21,0,2.33,0.0244,-0.0094,7.55,32.26,12040,5.06,6.27,86.48,79.2,7.43,17.14
MANILA ELECTRIC COMPANY,1,3/31/22,1,2.64,0.0113,0.2656,5.21,28.39,21085,4.89,6.19,82.88,85.83,5.93,17.71
MANILA ELECTRIC COMPANY,2,6/30/22,1,2.04,-0.1455,-0.0364,4.5,25.62,27838,-2.12,7.69,83.59,85.96,5.76,18.11
MANILA ELECTRIC COMPANY,3,9/30/22,0,2.03,-0.0673,-0.2694,2.95,20.38,30004,0.00,0,83.66,97.31,7.77,20
MANILA ELECTRIC COMPANY,4,12/29/22,0,2.1,0.1438,0.1361,6.87,22.24,30039,0.53,6.18,85.04,93.57,7.64,19.94
MANILA ELECTRIC COMPANY,1,3/31/23,1,2.26,-0.0102,0.0408,8.88,24.81,39067,1.73,6.97,77.41,102.37,8.21,19.76
MANILA ELECTRIC COMPANY,2,6/30/23,1,2.52,-0.0049,0.0772,8.94,29.08,21836,0.00,0,77.03,103.21,9.55,19.35
MEGAWORLD CORP,4,12/29/16,0,1.1,-0.1034,-0.2436,38.33,13.25,49330.36,0.00,15.22,50.15,3.98,26.93,25
MEGAWORLD CORP,1,3/31/17,0,1.09,0.0689,-0.0532,45.98,13.51,56335.72,0.00,12.37,48.08,4.05,34.29,24.6
MEGAWORLD CORP,2,6/30/17,1,1.27,0.0727,0.2722,41.88,13.25,59903.35,0.00,0,46.02,4.17,31.96,23.99
MEGAWORLD CORP,3,9/29/17,1,1.38,0.0419,0.2163,34.87,14.11,59478.04,0.00,0,46.37,4.38,20.87,26.7
MEGAWORLD CORP,4,12/29/17,0,1.16,0.0474,-0.0134,41.37,14.7,60164.72,0.00,0,45.89,4.4,26.9,24.1
MEGAWORLD CORP,1,3/28/18,0,1.2,-0.0676,-0.0911,41.31,14.4,50182.77,0.00,0,37.15,4.79,29.17,20.58
MEGAWORLD CORP,2,6/29/18,1,1.22,-0.0985,-0.0874,41.75,14.67,56165.84,0.00,0,38.33,4.92,30.11,21.16
MEGAWORLD CORP,3,9/28/18,1,1.28,0.0116,0.028,34.09,13.93,58954.35,0.00,0,40.53,5.08,26.87,23.74
MEGAWORLD CORP,4,12/28/18,1,1.48,0.026,0.0795,40.16,14.1,57746.39,0.00,0,38.38,5.18,27.45,22.66
MEGAWORLD CORP,1,3/29/19,1,1.53,0.0609,0.2211,38.02,13.74,55606.02,0.00,0,36.57,5.24,28.64,21.5
MEGAWORLD CORP,2,6/28/19,1,1.13,0.0099,0.0517,38.06,13.55,55402.66,0.00,16.14,37.03,5.35,29.14,21.76
MEGAWORLD CORP,3,9/30/19,0,1.03,-0.0276,-0.2836,34.64,13.61,53932.27,0.00,0,37.6,5.54,30.26,22.03
MEGAWORLD CORP,4,12/27/19,0,0.93,0.0047,-0.0824,36.33,13.17,53633.48,0.00,28.8,38.16,5.64,24.36,22.16
MEGAWORLD CORP,1,3/31/20,0,0.98,-0.3191,-0.3766,33.43,11.21,50997.71,0.00,20.27,36.02,5.68,23.57,21.13
MEGAWORLD CORP,2,6/30/20,1,1,0.1666,0.22,31.85,9.38,46636.29,0.00,17.5,42.1,5.59,24.03,23.77
MEGAWORLD CORP,3,9/30/20,1,1.14,-0.0553,-0.0295,24.62,6.97,46533.48,0.00,0,40.79,5.73,29.21,23.08
MEGAWORLD CORP,4,12/29/20,1,1.1,0.2175,0.3784,33.1,5.97,56083.75,0.00,9.33,43.19,5.4,25.32,24.03
MEGAWORLD CORP,1,3/31/21,0,0.93,-0.0976,-0.1225,34.19,6.55,55567.53,0.00,11.49,41.07,5.49,23.56,23.17
MEGAWORLD CORP,2,6/30/21,0,0.81,0.0712,-0.0978,34.77,7.68,60186.13,0.00,15.31,42.06,5.6,23.36,23.59
MEGAWORLD CORP,3,9/30/21,0,0.87,0.0074,-0.1176,31.91,8.1,50426.71,0.00,15.7,41.02,6.5,42.79,23.68
MEGAWORLD CORP,4,12/31/21,1,0.81,0.0244,0.1053,38.51,9.35,50334.73,0.00,18.16,39.28,6.15,25.04,22.95
MEGAWORLD CORP,1,3/31/22,0,0.68,0.0113,-0.0444,39.27,9.98,55749.49,0.00,27.37,38.89,6.26,21.13,22.74
MEGAWORLD CORP,2,6/30/22,0,0.68,-0.1455,-0.2824,37.74,10.09,63336.02,0.00,29.78,42.37,6.35,18.27,24.43
MEGAWORLD CORP,3,9/30/22,1,0.58,-0.0673,-0.0556,33.99,10.05,67753.75,0.00,0,39.63,6.64,32.07,23.34
MEGAWORLD CORP,4,12/29/22,0,0.58,0.1438,-0.0196,37.27,10.39,69790.89,0.00,34.13,39.07,6.83,27.99,23.04
MEGAWORLD CORP,1,3/31/23,1,0.57,-0.0102,0,37.6,10.59,73017.5,0.00,35.11,39.3,6.76,25.3,23.15
MEGAWORLD CORP,2,6/30/23,0,0.59,-0.0049,-0.005,38.41,10.68,71315.3,0.00,0,38.4,7.02,26.9,22.82
METRO PACIFIC INVESTMENTS CO,4,12/29/16,1,2.34,-0.1034,-0.062,34.46,12.58,80080,-14.52,7.89,52.57,4.86,26.16,27.71
METRO PACIFIC INVESTMENTS CO,1,3/31/17,0,2.27,0.0689,-0.0961,41.2,12.54,127318,-6.46,8.78,77.7,5.01,38.2,35.41
METRO PACIFIC INVESTMENTS CO,2,6/30/17,0,2.27,0.0727,0.0615,34.07,12.85,125469.3,0.00,0,79.93,5.07,17.41,35.84
METRO PACIFIC INVESTMENTS CO,3,9/29/17,1,2.2,0.0419,0.0485,45.72,12.52,139766,0.00,0,87.67,5.11,23.3,37.54
METRO PACIFIC INVESTMENTS CO,4,12/29/17,0,1.81,0.0474,0.0224,33.22,13.99,143259,0.00,0,84.68,5.16,19.69,36.49
METRO PACIFIC INVESTMENTS CO,1,3/28/18,0,1.72,-0.0676,-0.235,35.6,14.89,152829,0.00,0,85.08,5.32,24.77,37.41
METRO PACIFIC INVESTMENTS CO,2,6/29/18,0,1.75,-0.0985,-0.1221,29.52,14.58,162423,0.00,0,88.43,5.39,16.67,38.25
METRO PACIFIC INVESTMENTS CO,3,9/28/18,1,1.67,0.0116,0.0326,7.61,12.84,167572,0.00,0,90,5.5,9.08,38.55
METRO PACIFIC INVESTMENTS CO,4,12/28/18,0,1.65,0.026,-0.0232,35.43,12.59,172056,0.00,0,89.97,5.51,20.37,38.41
METRO PACIFIC INVESTMENTS CO,1,3/29/19,0,1.61,0.0609,0.0453,39.15,12.43,185274,0.00,0,92.01,5.64,23.32,39.59
METRO PACIFIC INVESTMENTS CO,2,6/28/19,0,1.72,0.0099,-0.0103,37.34,12.45,190881,-21.32,13.91,98.26,5.72,20.84,40.87
METRO PACIFIC INVESTMENTS CO,3,9/30/19,1,1.2,-0.0276,0.0375,0,10.99,176212,0.00,0,101.98,6.05,0,41.01
METRO PACIFIC INVESTMENTS CO,4,12/27/19,0,1.2,0.0047,-0.3012,41.81,10.36,186963,-43.41,24.42,104.36,5.93,16.51,41.42
METRO PACIFIC INVESTMENTS CO,1,3/31/20,1,1.59,-0.3191,-0.3046,34.43,7.57,192359,-23.57,11.91,103.63,6.04,13.38,41.61
METRO PACIFIC INVESTMENTS CO,2,6/30/20,1,1.58,0.1666,0.5289,37.84,6.04,195497,-10.01,10.19,102.76,6.05,19.14,41.51
METRO PACIFIC INVESTMENTS CO,3,9/30/20,0,1.59,-0.0553,-0.0568,22.43,7.45,184042,0.00,0,95.3,6.02,-2.47,37.69
METRO PACIFIC INVESTMENTS CO,4,12/29/20,1,1.54,0.2175,0.2264,33.55,6.83,177836,-5.65,11,102.31,6.13,66.17,41.41
METRO PACIFIC INVESTMENTS CO,1,3/31/21,0,1.5,-0.0976,-0.1262,34.32,7.16,184019,-7.18,11.36,103.22,6.24,30.4,41.97
METRO PACIFIC INVESTMENTS CO,2,6/30/21,0,1.39,0.0712,0.0401,36.1,7.11,192217,-9.59,12.09,105.44,6.34,18.96,42.56
METRO PACIFIC INVESTMENTS CO,3,9/30/21,0,1.44,0.0074,-0.0617,29.89,7.7,197457,-7.00,12.25,104.29,6.43,-19.86,42.28
METRO PACIFIC INVESTMENTS CO,4,12/31/21,1,1.36,0.0244,0.0685,37.44,7.89,206118,-5.67,13.17,104.57,6.61,51.01,41.98
METRO PACIFIC INVESTMENTS CO,1,3/31/22,0,1.48,0.0113,-0.0256,37.07,8.31,218195,-7.15,15.32,107.17,6.8,29.02,42.91
METRO PACIFIC INVESTMENTS CO,2,6/30/22,1,1.48,-0.1455,-0.0711,39.38,9.01,228726,-9.66,17.84,107.55,6.95,27.34,43.16
METRO PACIFIC INVESTMENTS CO,3,9/30/22,1,1.33,-0.0673,-0.0567,37.97,9.83,250637,0.00,0,119.6,6.97,-19.9,45.52
METRO PACIFIC INVESTMENTS CO,4,12/29/22,0,1.42,0.1438,0.027,42.15,10.58,254183,-35.58,19.74,117.79,7.08,35.33,44.89
METRO PACIFIC INVESTMENTS CO,1,3/31/23,1,1.84,-0.0102,0.076,41.73,11.09,265890,-26.73,16.44,117.83,7.26,34.28,45.4
METRO PACIFIC INVESTMENTS CO,2,6/30/23,1,2.03,-0.0049,0.2962,0,0,0,0.00,0,0,NA,0,0
METROPOLITAN BANK & TRUST,4,12/29/16,0,3.59,-0.1034,-0.1489,38.6,13.93,-160132,-15.78,10.78,99.6,53.33,27.98,10.9
METROPOLITAN BANK & TRUST,1,3/31/17,1,3.62,0.0689,0.1019,32.62,13.9,-162860,-5.01,10.09,100.89,54.71,18.86,11.11
METROPOLITAN BANK & TRUST,2,6/30/17,1,3.42,0.0727,0.0938,30.59,14.31,-141689,0.00,0,101.32,55.98,16.64,11.3
METROPOLITAN BANK & TRUST,3,9/29/17,0,3.87,0.0419,-0.0114,37.37,14.63,-109031,0.00,0,126.08,51.77,25.76,12.37
METROPOLITAN BANK & TRUST,4,12/29/17,1,3.45,0.0474,0.1723,36.13,14.18,-123895,0.00,0,101.26,57.58,26.51,10.62
METROPOLITAN BANK & TRUST,1,3/28/18,0,4.11,-0.0676,-0.1538,33.44,12.51,-100837,0.00,0,91.73,60.09,22.37,11.82
METROPOLITAN BANK & TRUST,2,6/29/18,0,3.71,-0.0985,-0.1445,35.28,12.79,-89105,0.00,0,79.26,61.69,24.68,10.62
METROPOLITAN BANK & TRUST,3,9/28/18,0,4.37,0.0116,-0.0872,29.19,12.69,-52778,0.00,0,109.03,62.92,23.93,14.16
METROPOLITAN BANK & TRUST,4,12/28/18,1,4.07,0.026,0.2082,35.4,12.52,-48479,0.00,0,98.41,64.19,27.49,12.98
METROPOLITAN BANK & TRUST,1,3/29/19,0,3.58,0.0609,-0.013,35.81,11.47,-62602,0.00,0,87.94,65.93,24.45,11.78
METROPOLITAN BANK & TRUST,2,6/28/19,0,3.54,0.0099,-0.1083,38.44,12.28,-24799,-31.64,12.82,110.16,67.74,28.74,14.83
METROPOLITAN BANK & TRUST,3,9/30/19,0,3.86,-0.0276,-0.04,60.13,12.85,-53464,0.00,0,102.49,68.83,44.53,13.32
METROPOLITAN BANK & TRUST,4,12/27/19,0,3.38,0.0047,-0.0307,29.27,12.63,-36500,-2.47,19.58,83.66,67.71,22.15,11.04
METROPOLITAN BANK & TRUST,1,3/31/20,0,2.69,-0.3191,-0.3967,13.81,10.83,-218728,21.00,18.8,59.05,71.73,7.9,8.44
METROPOLITAN BANK & TRUST,2,6/30/20,0,2.93,0.1666,-0.075,12.05,8.26,-316854,61.60,13.71,60.88,71.11,6.26,8.51
METROPOLITAN BANK & TRUST,3,9/30/20,1,3.1,-0.0553,0.0324,19.86,6.42,-228824,0.00,0,69.69,72.1,16.66,9.46
METROPOLITAN BANK & TRUST,4,12/29/20,1,3.1,0.2175,0.284,36.2,7.21,-200253,24.56,11.04,72.06,68.17,28.84,9.59
METROPOLITAN BANK & TRUST,1,3/31/21,1,3.17,-0.0976,-0.0948,21.78,6.96,-248536,-14.63,10.1,74.3,69.63,15.92,9.68
METROPOLITAN BANK & TRUST,2,6/30/21,1,2.82,0.0712,0.0968,25.9,7.77,-216524,32.10,12.59,46.01,70.52,18.21,6.18
METROPOLITAN BANK & TRUST,3,9/30/21,0,3.48,0.0074,-0.1027,33.14,9.2,-262512,38.69,11.81,46.17,70.84,24.52,6.05
METROPOLITAN BANK & TRUST,4,12/31/21,1,3.45,0.0244,0.2746,38.7,9.99,-373150,9.54,11.9,57.53,67.56,28.91,6.81
METROPOLITAN BANK & TRUST,1,3/31/22,1,3.39,0.0113,0.0233,40.41,11.75,-270347,14.45,16.86,53.78,67.47,27.74,6.32
METROPOLITAN BANK & TRUST,2,6/30/22,0,3.64,-0.1455,-0.1614,37.59,12.82,-147374,-39.95,18.41,72.12,68.69,28.86,8.4
METROPOLITAN BANK & TRUST,3,9/30/22,1,3.56,-0.0673,0.0146,38.45,13.57,-261627,0.00,0,55.14,70.84,31.99,6.36
METROPOLITAN BANK & TRUST,4,12/29/22,0,3.83,0.1438,0.1134,41.55,14.82,-234874,-0.51,17.58,51.98,71.17,31.77,5.95
METROPOLITAN BANK & TRUST,1,3/31/23,1,3.63,-0.0102,0.0833,41.9,15.41,-176588,2.35,19.48,46.12,73.34,32.03,5.47
