,Q Number,Quarters,Performance,Weights,Index Returns,Returns,Operating Margins,ROE,ROA,Dividend Yield,Earnings Yield,Debt to Equity,Book Value Per Share,Profit Margin,Total Debt to Total Asset
ALLIANCE GLOBAL GROUP INC,3,9/30/21,1,1.09,0.0074,0.0138,12.3,12.67,137615.69,9.76,22.61,69.63,20.44,11.83,33.16
ALLIANCE GLOBAL GROUP INC,4,12/31/21,1,1.12,0.0244,0.1456,20.91,13.46,137740.9,9.64,23.16,67.96,22.63,10.68,32.67
ALLIANCE GLOBAL GROUP INC,1,3/31/22,1,0.92,0.0113,0.061,23.27,14.29,140858.45,16.98,35.96,66.07,23.01,10.04,31.99
ALLIANCE GLOBAL GROUP INC,2,6/30/22,0,0.91,-0.1455,-0.2971,20.75,15.34,150600.2,16.53,42.11,68.09,23.39,8.33,32.72
ALLIANCE GLOBAL GROUP INC,3,9/30/22,1,1.16,-0.0673,-0.0625,12.58,15.25,124417.84,0.00,0,59.93,22.66,7.64,29.32
ALLIANCE GLOBAL GROUP INC,4,12/29/22,1,1.19,0.1438,0.4424,20.57,15.87,116115.99,12.03,32.19,55.75,26.37,9.73,27.53
ALLIANCE GLOBAL GROUP INC,1,3/31/23,1,1.29,-0.0102,0.0387,21.62,15.68,148231.22,10.36,30.22,61.11,27.09,9.57,30.72
ALLIANCE GLOBAL GROUP INC,2,6/30/23,1,1.21,-0.0049,0.0858,21.23,15.87,169379.7,0.00,0,60.65,28.27,7.32,30.74
AYALA CORPORATION,4,12/29/16,0,6.21,-0.1034,-0.1476,23.53,23.73,240675.17,-4.03,10.23,82.27,372.29,12.81,33.29
AYALA CORPORATION,1,3/31/17,1,5.74,0.0689,0.1567,26.43,24.42,249854.63,-3.05,10.78,80.19,381.6,14.37,32.87
AYALA CORPORATION,2,6/30/17,0,6.27,0.0727,0.0059,28.05,26.14,263067.86,0.00,0,87.08,394.93,13.67,34.71
AYALA CORPORATION,3,9/29/17,1,6.2,0.0419,0.1412,-5.19,17.6,274888.85,0.00,0,85.29,401.02,12.76,34.32
AYALA CORPORATION,4,12/29/17,0,6.23,0.0474,0.0464,27.41,19.17,296577.2,0.00,0,88.75,407.52,11.96,35.32
AYALA CORPORATION,1,3/28/18,1,6.87,-0.0676,-0.066,25.07,19.79,324955.78,0.00,0,92.99,417.52,11.93,36.73
AYALA CORPORATION,2,6/29/18,1,6.85,-0.0985,-0.0295,20.74,17.6,324884.72,0.00,0,90,445.08,11.61,36.25
AYALA CORPORATION,3,9/28/18,0,6.48,0.0116,0.0087,-10.22,16.34,336444.08,0.00,0,87.88,449.41,14.41,34.41
AYALA CORPORATION,4,12/28/18,0,6.38,0.026,-0.0302,20.43,13.99,346724.28,0.00,0,89.01,472.5,13.04,34.81
AYALA CORPORATION,1,3/29/19,0,6,0.0609,0.0444,53.77,19.08,362383.51,0.00,0,86.22,525.4,45.1,35.5
AYALA CORPORATION,2,6/28/19,0,6.1,0.0099,-0.0489,18.82,17.66,340855.95,-2.51,10.09,77.48,532.97,13.05,32.65
AYALA CORPORATION,3,9/30/19,1,5.4,-0.0276,-0.0106,9.83,22.26,311200.19,0.00,0,83.98,513.19,-14.82,31.79
AYALA CORPORATION,4,12/27/19,0,4.65,0.0047,-0.1119,16.98,20.48,338816.07,-28.33,22.43,88.39,519.75,12.49,33.29
AYALA CORPORATION,1,3/31/20,0,6.66,-0.3191,-0.405,8.7,9.48,357943.19,-17.78,6.57,92.47,514.03,4.1,34.19
AYALA CORPORATION,2,6/30/20,1,6.23,0.1666,0.6624,10.74,7.27,348803.68,-22.74,5.8,85.28,525.34,7.06,32.45
AYALA CORPORATION,3,9/30/20,0,6.16,-0.0553,-0.1133,10.29,7.1,376395.61,0.00,0,85.89,529.12,9.55,33.14
AYALA CORPORATION,4,12/29/20,0,6.09,0.2175,0.2003,12.37,6.21,378684.37,-0.90,4.58,83.62,540.86,10.28,33.03
AYALA CORPORATION,1,3/31/21,0,6.15,-0.0976,-0.1052,11.95,7.35,388183.27,5.56,5.02,87.41,550.85,9.25,36.04
AYALA CORPORATION,2,6/30/21,1,6.21,0.0712,0.0811,19.96,8.83,408927.65,-5.81,6.03,97.14,559.63,16.72,39.33
