Company,Q Number,Quarters,Performance,Weights,Index Returns,Returns,Operating Margins,ROE,ROA,Dividend Yield,Earnings Yield,Debt to Equity,Book Value Per Share,Profit Margin,Total Debt to Total Asset,,,,,,,,,,
ABOITIZ EQUITY VENTURES INC,4,12/29/22,0,4.29,0.143757174,0.075489282,15.2791,17.3076,276450.139,17.3052,13.1932,96.7306,45.4401,11.8927,44.5195,,,,,,,,,,
ABOITIZ POWER CORP,4,12/29/16,1,1.82,-0.103423057,-0.08652793,31.3311,27.4119,79586.126,-4.9019,7.8538,139.6437,13.6314,22.0034,51.7278,,,,,,,,,,
ABOITIZ POWER CORP,1,3/31/17,0,1.7,0.068864902,0.001199041,29.9523,25.962,168773.598,0,0,192.3802,14.2846,22.0139,60.4662,,,,,,,,,,
ABOITIZ POWER CORP,2,6/30/17,0,1.31,0.072683308,-0.068263473,27.0815,28.5644,167345.708,-11.2319,8.8229,201.2103,13.5211,16.3233,59.513,,,,,,,,,,
ABOITIZ POWER CORP,3,9/29/17,1,1.38,0.041854304,0.101542416,26.3684,29.0658,173185.491,-12.1387,10.1731,189.6684,14.2913,17.9102,60.16,,,,,,,,,,
ABOITIZ POWER CORP,4,12/29/17,0,1.27,0.047358908,-0.03033839,31.2627,29.9558,173627.662,0,0,187.0452,15.1645,18.971,59.9323,,,,,,,,,,
ABOITIZ POWER CORP,1,3/28/18,0,1.27,-0.067604768,-0.068592058,29.4275,30.9961,170296.423,0,0,166.1547,15.6818,15.0747,56.9873,,,,,,,,,,
ABOITIZ POWER CORP,2,6/29/18,0,1.3,-0.098517136,-0.102067183,28.2817,33.4635,173714.356,0,0,188.6092,14.974,13.7685,58.0601,,,,,,,,,,
ABOITIZ POWER CORP,3,9/28/18,0,1.23,0.011557367,-0.037410072,23.9276,32.4251,178110.26,0,0,174.9969,15.7705,14.2224,57.4299,,,,,,,,,,
ABOITIZ POWER CORP,4,12/28/18,1,1.26,0.026000368,0.049327354,31.1851,31.2103,180204.098,0,0,158.9373,16.9455,21.5381,55.846,,,,,,,,,,
ABOITIZ POWER CORP,1,3/29/19,0,1.2,0.060930723,0.008547009,27.78,30.0249,170155.565,0,0,158.518,17.3556,16.0023,55.5606,,,,,,,,,,
