Earnings per Share,Operating Margins,ROE,EPS Growth,Earnings Yield,Debt to Equity,Book Value Per Share,Net Debt to EBITDA,Current Ratio,Profit Margin,Total Debt to Total Asset,Return on Capital,FCF to Basic Share,Tangible Book value per Share,Performance
0.06,41.81,10.36,-79.58,24.42,104.36,5.93,7.51,1.37,16.51,41.42,6.74,0.14,5.33,-0.3059
0.02,34.43,7.57,-82.61,11.91,103.63,6.04,9.7,1.15,13.38,41.61,5.44,0.14,5.44,0.0145
0.06,37.84,6.04,-50.78,10.19,102.76,6.05,11.7,1.1,19.14,41.51,4.8,0.26,5.46,0.3623
-0.01,22.43,7.45,89.65,NA,95.3,6.02,9.59,1.24,-2.47,37.69,3.43,0.05,5.5,-0.0015
0.23,33.55,6.83,42.66,11,102.31,6.13,10.46,1.35,66.17,41.41,4.56,0.14,5.61,0.0089
0.11,34.32,7.16,349.79,11.36,103.22,6.24,10.88,1.42,30.4,41.97,5.21,0.16,5.72,-0.0286
0.07,36.1,7.11,22.89,12.09,105.44,6.34,12.16,1.44,18.96,42.56,5.08,0.09,5.8,-0.0311
-0.08,29.89,7.7,-24.86,12.25,104.29,6.43,12.43,1.24,-19.86,42.28,4.01,0.11,5.91,-0.0691
0.19,37.44,7.89,199.53,13.17,104.57,6.61,12.53,1.19,51.01,41.98,3.65,0.1,6.08,0.0441
0.13,37.07,8.31,18.21,15.32,107.17,6.8,12.5,1.12,29.02,42.91,3.58,0.27,6.26,-0.0369
0.12,39.38,9.01,89.92,17.84,107.55,6.95,12.11,0.94,27.34,43.16,4.02,0.15,6.41,0.0744
1.48,38.6,13.93,11.47,10.78,99.6,53.33,NA,NA,27.98,10.9,5.35,NA,51.95,-0.0455
1.05,32.62,13.9,3.22,10.09,100.89,54.71,NA,NA,18.86,11.11,5.06,NA,53.32,0.033
0.98,30.59,14.31,4.99,NA,101.32,55.98,NA,NA,16.64,11.3,5.11,NA,54.59,0.0211
1.34,37.37,14.63,-8.44,NA,126.08,51.77,NA,NA,25.76,12.37,4.89,NA,50.38,-0.0533
1.6,36.13,14.18,8.18,NA,101.26,57.58,NA,NA,26.51,10.62,4.99,NA,56.13,0.1249
1.28,33.44,12.51,21.93,NA,91.73,60.09,NA,NA,22.37,11.82,4.6,NA,58.93,-0.0862
1.37,35.28,12.79,39.4,NA,79.26,61.69,NA,NA,24.68,10.62,5.02,NA,60.54,-0.046
1.02,29.19,12.69,-24.09,NA,109.03,62.92,NA,NA,23.93,14.16,4.38,NA,61.76,-0.0988
1.5,35.4,12.52,-6.08,NA,98.41,64.19,NA,NA,27.49,12.98,4.69,NA,63.04,0.1822
1.4,35.81,11.47,9.32,NA,87.94,65.93,NA,NA,24.45,11.78,4.49,NA,64.77,-0.0739
1.9,38.44,12.28,38.79,12.82,110.16,67.74,NA,NA,28.74,14.83,4.7,NA,66.58,-0.1182
1.07,60.13,12.85,5.51,NA,102.49,68.83,NA,NA,44.53,13.32,4.61,NA,67.67,-0.0124
1.36,29.27,12.63,-9.6,19.58,83.66,67.71,NA,NA,22.15,11.04,4.85,NA,66.56,-0.0354
0.67,13.81,10.83,-52.01,18.8,59.05,71.73,NA,NA,7.9,8.44,4.52,NA,70.58,-0.0776
0.43,12.05,8.26,-77.4,13.71,60.88,71.11,NA,NA,6.26,8.51,3.01,NA,69.95,-0.2416
0.62,19.86,6.42,-42.22,NA,69.69,72.1,NA,NA,16.66,9.46,2.31,NA,70.95,0.0877
1.73,36.2,7.21,27.21,11.04,72.06,68.17,NA,NA,28.84,9.59,2.77,NA,67.01,0.0665
0.87,21.78,6.96,29.85,10.1,74.3,69.63,NA,NA,15.92,9.68,3,NA,68.48,0.0028
0.99,25.9,7.77,130.23,12.59,46.01,70.52,NA,NA,18.21,6.18,3.79,NA,69.36,0.0256
1.34,33.14,9.2,116.78,11.81,46.17,70.84,NA,NA,24.52,6.05,4.28,NA,69.68,-0.1101
1.78,38.7,9.99,2.89,11.9,57.53,67.56,NA,NA,28.91,6.81,4.37,NA,66.4,0.2502
1.69,40.41,11.75,94.25,16.86,53.78,67.47,NA,NA,27.74,6.32,5.06,NA,66.32,0.012
1.75,37.59,12.82,76.77,18.41,72.12,68.69,NA,NA,28.86,8.4,5.84,NA,67.53,-0.0159
0.43,8.32,31.63,152.68,32.23,184.02,9.29,4.11,0.79,4.9,52.81,7.78,0.41,8.47,0.0808
0.13,5.67,30.55,-45.55,29.61,179.17,9.64,4.07,0.83,2.34,53.74,7.88,0.12,8.8,-0.1744
0.22,7.05,32.8,9.74,NA,168.98,9.8,3.65,0.93,3,50.78,8.7,0.95,8.94,0.0149
0.09,4.6,31.03,4653.83,NA,171.94,9.99,3.99,1.17,1.63,50.67,7.71,-1.2,9.11,0.0407
0.47,6.81,29.11,8.72,NA,159.77,10.92,3.95,1.23,4.28,49,7.57,0.13,9.95,-0.1724
0.24,4.69,29.31,88.76,NA,169.69,11.21,4.15,1.17,2.33,51.44,7.6,-1.19,10.26,0.0763
0.15,4.57,31.22,-30.25,NA,216.05,9.21,4.51,1.03,1.53,52.47,7.49,1.03,8.27,0.0585
-0.59,-2.42,21.86,NA,NA,233.21,8.48,6.02,1.04,-3.57,56.12,4.88,-0.54,7.57,-0.033
0.05,3.91,16.62,-89.36,NA,253.67,8.31,6.89,1,0.89,56.34,2.9,1.55,7.39,-0.1388
0.06,3.78,12.99,-75,NA,201.52,10.39,6.69,1.27,0.86,54.67,0.5,-0.35,9.5,-0.2191
0,3.22,11.49,NA,22.49,220.92,10.37,7.66,1.34,0.7,58.2,2.4,-0.51,9.48,-0.1131
-0.28,1.75,19.62,52.89,NA,237.93,9.13,6.3,1.13,-1.06,55.7,3.54,0.14,8.23,-0.1133
-0.62,-4.21,8.95,NA,29.2,273.48,8.2,9.9,1.07,-4.41,61.7,1.77,-1.2,7.35,-0.2327
-1.06,-21.23,-11.67,NA,-28.07,282.59,4.48,50.56,1,-19.16,64.61,-1.84,0.55,3.64,-0.0255
0.01,6.52,-11.51,NA,-28.2,258.79,4.52,81.6,1.07,2.07,62.9,-1.5,-0.13,3.68,0.0547
0.11,8.24,-5.6,NA,NA,247.07,8.51,38.15,0.89,1.52,60.89,-1.14,0.17,7.64,0.0391
0.01,4.39,4.43,NA,11.99,246.88,8.37,14.38,0.87,1.68,60.55,0.91,0.8,7.53,0.095
0.16,5.82,25.38,NA,60.42,177.89,11.37,6.08,0.96,2.21,54.99,4.61,-1.67,10.53,-0.1355
-0.03,3.8,25.5,NA,66.31,185.28,11.5,6.09,0.96,0.86,55.5,4.51,-0.5,10.62,0.017
-0.1,2.6,18.78,NA,57.93,205.02,11.05,7.05,0.99,0.65,55.81,4.57,-0.75,10.15,-0.0825
0.25,4.89,23.79,2400,71.06,201.06,11.34,5.95,1,1.88,54.97,5.03,-0.34,10.46,0.0048
0.24,3.35,22.47,50,85.48,224.94,11.68,6.16,1.05,1.55,53.92,5.27,-2.07,10.79,0.0297
-0.1,0.21,18.69,-233.33,84.92,228.71,11.68,7.18,1.02,0.16,57.68,5.39,-0.83,10.77,0.0637
22.84,22.23,24.1,-20.45,7.26,158.74,506.69,2.19,0.49,12.63,37.47,9.45,54.69,182.09,-0.0993
53.48,18.97,26.83,85.44,7.91,142.31,546.39,1.96,0.6,29.04,37.58,11.2,-3.07,222.61,0.137
24.74,15.73,27.87,57.88,NA,147.1,527.2,2.05,0.55,13.38,38.66,12.14,7.37,204.22,0.0196
-39.44,-32.76,8.89,NA,NA,155.25,492.28,2.23,0.53,-21.34,37.57,7.17,7.99,170.13,-0.1142
31.87,17.15,7.11,39.54,NA,151.86,502.59,2.16,0.58,17.03,36.83,7.99,10.23,181.44,-0.1601
22.44,18.98,7.03,-58.04,NA,156.36,521.64,2,0.75,11.65,38.85,5.34,18.41,201.44,0.0608
20.78,16.55,7.63,-16.01,NA,157.52,504.48,2.04,0.66,11.15,38.06,5.4,-36.79,185.21,-0.0239
12.18,-19.34,12.63,NA,NA,151.09,517.81,1.99,0.52,6.57,36.52,8.98,39.83,200.3,0.0349
30.98,25.37,15.76,-2.79,NA,168.14,503.94,2.23,0.45,16.51,38.5,8.76,-16.6,187.33,-0.1927
25.39,24.33,17.02,13.13,NA,164.63,527.15,2.38,0.4,13.29,38.9,8.71,-18.55,211.45,-0.0387
17.46,19.71,19.17,-15.98,8.57,174.87,507.79,2.42,0.37,8.93,39.18,8.53,-9.29,192.97,0.1118
30.13,23.82,35.29,147.34,NA,179.61,516.1,2.19,0.37,14.58,39.78,9.27,-56.14,202.09,-0.0949
27.3,25.47,37.05,-11.88,16.49,196.12,500.98,2.15,0.36,13.55,40.65,8.69,-8,187.79,-0.1319
29.4,25.06,35.88,15.81,15.16,211.27,529.59,2.33,0.48,14.78,45.17,8.48,-39.13,217.22,0.4618
34.22,25.45,39.74,95.99,15.35,203.04,526.89,2.25,0.42,15.93,44.01,9.81,34.96,215.33,-0.0594
21.21,5.09,31.97,-29.62,NA,202.89,531.94,2.34,0.41,9.62,42.16,9.2,23.7,229.49,0.1265
26.79,21.23,32.46,-1.87,13.36,212.9,504.21,2.39,0.39,12.11,41.4,9.2,-20.28,207.2,-0.2168
32.88,19.81,29.42,11.84,12.13,212.93,536.86,2.59,0.36,14.92,42.77,8.72,-48.88,245.29,0.0088
27.36,23.27,29.42,-20.05,9.17,228.32,520.65,2.73,0.33,12.28,43.71,8.5,-26.28,231.04,-0.0122
34.74,20.06,34.31,63.79,10.41,215.15,568.08,2.59,0.33,15.22,43.79,9.36,1.15,278.57,0.2919
41.95,16.32,33.48,56.92,9.69,218.7,566.52,2.67,0.33,18.22,43.86,10.29,-27.59,277.24,0.0542
35.61,-8.71,20.25,8.88,6.84,218.96,598.43,2.64,0.44,15.12,44.66,9.93,-44.03,309.37,0.0097
49.52,24.3,22.17,80.99,8,230.35,568.52,2.9,0.3,20.86,45.82,11.17,-76.55,279.69,0.0536
0.46,6.73,19.72,9.52,6.85,16.23,16.07,0.58,2.11,4.63,11.69,11.81,-1.33,9,0.1034
0.44,6.03,19.53,10,6.84,14.62,16.51,0.48,2.31,4.18,10.75,11.8,0.34,9.44,-0.0689
0.51,6.61,19.05,2,NA,12.6,17.02,0.41,2.34,4.55,9.29,11.6,0.28,9.95,-0.0532
0.58,11.08,21.75,-15.06,NA,67.91,16.87,1.85,1.55,4.3,34.51,10.37,2.39,9.73,0.1287
0.49,7.63,21.9,6.52,NA,19.03,17.86,0.5,1.95,4.37,13.93,12.75,-1.19,10.72,-0.0886
0.59,6.71,22.21,34.09,NA,11.98,18.46,0.24,2.48,4.91,8.95,14.15,0.01,11.33,0.1166
0.52,7.13,22.54,1.96,NA,10.63,19.01,0.2,2.54,4.07,7.97,14.56,0.41,11.88,-0.013
0.64,7.5,20.53,11.37,NA,65.1,19.17,1.73,1.98,4.27,34.22,9.15,2.96,12.03,-0.0459
0.53,7.37,19.36,8.16,NA,47.09,20.39,1.41,3.24,4.33,28.99,10.73,-0.43,13.52,-0.0704
0.46,6.12,18.84,-22.03,NA,45.59,20.87,1.31,3.77,3.63,28.67,10.33,0.84,14,0.0577
0.6,7.24,18.77,15.38,9.72,44.34,21.56,1.3,4.38,4.45,28.51,10.47,0.16,14.65,-0.0754
0.77,8.48,19.81,19.19,NA,50.59,21.57,0.94,2.58,4.97,28.83,9.11,3.33,14.69,-0.1037
0.61,7.24,19.28,15.09,11.25,48.97,22.07,0.95,3.16,4.31,29.05,9.43,0.44,15.23,0.0132
0.57,6.7,19.66,23.91,9.23,46.09,22.75,0.79,3.08,3.98,27.63,9.76,0.49,15.88,0.2361
0.58,7.1,19.1,-3.33,8.71,63.21,23.33,0.95,4.64,4.22,35.03,8.99,-0.57,16.46,0.105
1.05,10.23,20.49,37.3,NA,66.43,23.87,0.59,3.45,6.35,34.58,9.33,3.58,17,0.1125
0.7,8.76,20.42,14.75,12.15,64.45,12.23,1.16,5.03,5.36,35.65,9.58,-2.99,8.81,-0.3808
0.68,7.38,20.02,19.3,11.86,63.94,25.26,0.86,5.58,5.11,35.78,9.92,2.5,18.39,0.0561
0.61,7.48,19.73,5.17,10.91,62.28,25.87,0.83,5.78,4.48,35.27,9.46,0.42,19,-0.0407
0.85,7.93,17.98,-18.94,11.48,61.86,26.31,0.3,3.84,5,33.49,8.74,4.03,19.44,0.0914
0.75,8.96,17.67,7.14,12.76,60.26,26.92,0.64,5.08,5.59,34.13,8.67,-1.2,20.08,-0.1413
0.71,7.6,17.85,4.41,15.72,59.69,27.77,0.72,5.51,4.68,34.19,8.52,0.1,20.9,-0.1016
0.79,7.75,18.15,29.51,17.48,59.45,28.56,0.97,5.74,5.02,34.24,8.8,-0.73,21.55,-0.0125
0.33,36.22,13.61,-15,8.77,67.98,14.76,3.32,1.84,25.4,33.01,6.59,-0.29,14.76,-0.0579
0.37,39.56,13.61,0,8.43,68.32,15.11,3.44,1.81,27.55,33.55,6.51,-0.12,15.11,-0.1843
0.39,41.66,13.75,-2.44,NA,70.73,15.52,3.58,1.66,29.36,34.19,6.33,-0.65,15.52,-0.0184
0.31,34.77,13.33,2.25,NA,76.22,15.84,3.95,1.2,22.33,34.67,6.28,-1.39,15.84,0.0014
0.33,35.59,11.73,0.41,NA,40.48,17.05,2.52,2.67,24.27,23.6,5.79,-0.64,NA,-0.2055
0.36,38.21,12.1,-2,NA,42.26,17.03,2.58,2.43,26.47,24.18,5.87,0.25,NA,0.0038
0.64,49.26,14.47,65.52,NA,40.93,17.66,1.86,2.1,35.26,22.69,6.93,0.56,17.66,0.0313
0.29,32.97,14.79,-4.98,NA,39.81,18,2.13,1.65,21.63,21.47,7.07,-0.81,18,0.0798
0.35,37.71,13.33,6.06,NA,37.22,18.36,1.99,1.61,26.27,20.46,7.14,0.48,18.36,-0.0334
0.42,38.62,13.94,16.67,NA,37.93,18.28,1.87,1.45,27.1,20.05,7.39,0.37,NA,0.155
0.45,42.06,12.1,-29.69,8.84,42.15,18.79,2.42,1.57,30.89,23.5,6.43,-0.71,18.79,0.0656
0.45,42.06,12.73,53,NA,45.11,19.16,2.21,1.37,29.23,23.8,6.86,1.01,19.16,-0.0426
0.61,36.64,14.3,74.29,18.37,45.91,19.76,2.15,1.39,25.64,24.47,7.7,-0.56,19.76,0.1198
0.1,25.18,12.44,-76.19,13.4,52.81,19.36,2.05,1.4,11.89,25.62,6.58,1.13,19.36,-0.1422
0.14,28.85,10.37,-68.89,13.97,54.37,19.5,2.24,2.09,15.68,25.91,5.38,0.32,19.5,0.0113
0.17,23.05,8.44,-63.07,NA,54.11,19.61,3.04,1.49,12.81,25.83,4.25,-0.77,19.61,-0.1323
0.56,18.04,6.75,-8.2,7.54,52.5,20.17,3.5,1.26,17.6,26.61,4.24,-0.05,20.17,0.2755
0.49,39.34,9.25,390,10.65,51.9,20.41,2.96,1.19,27.43,25.91,5.41,0.15,20.41,-0.059
0.17,28.99,8.49,21.43,11.62,37.62,24.33,1.92,1.61,18.07,21.3,5.33,-1.17,24.33,-0.1048
0.33,30.35,8.62,100.62,9.85,37.72,24.37,2.02,1.59,30.59,21.57,5.78,-0.16,24.37,-0.0815
0.27,35.82,8.04,-51.79,8.68,34.01,24.22,2.32,1.5,20.95,19.56,5.23,-0.07,24.22,0.1756
0.64,22.52,8.78,30.61,11.53,36.93,24.85,2.62,1.76,15.82,22.92,5.64,-0.31,24.85,0.0564
0.4,38.31,9.39,135.29,14.15,40.33,24.73,2.46,1.46,24.73,24.29,6.06,-0.29,24.73,-0.0135
0.72,4.51,12.32,26.32,5.39,8.09,35.16,-0.61,1.35,3.87,5.75,10.56,-1.22,30.34,0.1034
0.93,5.61,12.56,4.49,4.9,7.13,35.3,-0.53,1.37,4.63,5.1,10.41,-0.42,30.48,-0.0689
0.87,5.44,12.56,-5.43,NA,7.14,36.24,-0.45,1.43,4.37,5.19,10.09,0.57,31.43,-0.0727
1.07,6.11,12.72,-2.76,NA,11.54,37.21,-0.98,1.34,4.37,7.76,9.59,3.74,32.4,-0.0419
0.87,4.4,12.69,20.83,NA,6.62,37.92,-0.83,1.48,4.18,4.74,10.2,-0.82,33.08,-0.0757
1.02,5.56,13.03,9.68,NA,5.75,38.02,-0.87,1.44,4.48,4.08,10.5,0.6,33.21,-0.0041
0.87,5.19,12.98,0,NA,7.33,38.71,-0.36,1.46,3.86,5.36,10.24,-1.32,33.93,-0.0112
0.88,4.82,11.04,-18.02,NA,9.34,43.46,-0.89,1.22,3.12,6.3,8.43,4.66,31.34,-0.0091
0.4,3.82,11.08,-54.02,NA,8.21,44.26,-0.56,1.26,1.7,5.73,8.36,-0.33,32.15,-0.0222
0.68,4.98,11.45,-33.33,NA,40.67,44.26,1.54,1.18,2.7,23.26,7.28,0.38,32.16,-0.0734
0.67,5.01,11.74,-22.99,6.03,35.39,45.22,1.24,1.49,2.73,21.39,7.59,0.04,33.13,-0.0732
0.66,5.27,11.13,-24.74,NA,42.71,45.75,0.84,1.42,2.23,23.71,6.89,5.33,33.67,0.0952
0.59,4.18,11.33,47.5,8.99,38.73,46.18,0.76,1.73,2.3,23.09,7.11,-0.89,34.1,0.008
0.46,3.26,10.21,-32.35,7.05,38.87,45.58,0.66,1.61,2.06,22.42,5.86,3.01,33.52,0.0316
0.48,4.21,9.38,-28.36,6.58,41.04,45.86,1.17,1.59,2.17,24,5.46,-1.03,33.84,-0.0262
0.53,3.65,7.96,-20.08,NA,47.57,46.34,1.22,1.36,1.99,26.07,4.76,2.52,31.96,0.0553
0.61,3.26,7.24,3.39,5.88,41.97,46.23,1.29,1.45,2.65,24.08,5.08,0.77,31.85,-0.2175
0.47,3.26,7.46,2.17,6.33,42.83,44.59,1.35,1.44,2.02,24.61,5.08,0.19,30.21,-0.0216
0.68,3.97,7.49,41.67,6.64,42.09,46.22,1.35,1.44,2.78,24.05,5.24,1.59,31.3,-0.1332
1.22,5.04,8.36,129.96,6.06,43.87,45.65,1.32,1.44,4.1,25.01,5.93,0.47,31.27,-0.0428
0.78,4.03,8.98,27.87,7.7,40.57,45.37,1.34,1.52,2.99,23.88,6.26,0.2,31,0.2381
1.04,4.76,10.51,121.28,9.69,46.39,44.22,1.45,1.41,3.63,26.1,7.15,2.09,29.86,-0.1619
1.13,5.11,11.57,66.18,9.96,44.21,44.92,1.28,1.43,3.74,25.1,7.85,1.65,30.56,0.0528
1.85,14.05,38.78,-28.57,42.15,154.91,115.1,3.91,1.26,3.19,52.26,6.89,5.77,38.05,0.2345
2.06,13.12,37.93,75.78,42.37,157.71,117.13,3.79,1.34,3.4,52.83,6.03,7.76,39.15,0.0579
2.56,14.4,39.36,NA,NA,150.05,119.48,3.69,1.31,3.89,51.24,6.78,7.87,40.42,-0.0727
2.31,12.35,39.67,NA,NA,149.5,121.78,3.66,1.4,3.2,51.05,6.86,-2.01,40.11,-0.0967
2.31,13.95,40.95,24.86,NA,179.77,123.23,4.5,1.37,3.13,55.37,6.54,4.36,11.75,0.0879
1.52,12.97,43.29,-26.21,NA,184.64,124.5,4.5,1.29,2.06,56.22,6.39,-0.92,11.5,0.2683
2.2,11.84,43.31,-14.06,NA,193.45,125.35,4.63,1.29,2.7,56.61,6.5,2.48,10.95,0.1284
0.58,7.22,37.91,-74.82,NA,184.34,137.4,4.76,1.36,1.22,56.29,6,2.85,21.02,0.2167
1.63,12.4,37,-29.44,NA,186.8,138.71,4.93,1.31,2.28,56.2,5.46,10.47,21.94,-0.1587
2.39,10.25,34.25,57.24,NA,168.58,139.41,5.01,1.54,2.91,54.82,5.64,0.32,26.48,0.1228
2.17,12.5,34.31,-1.36,26.36,169.41,138.24,4.78,1.53,2.81,55.42,5.51,-0.49,23.92,-0.003
-0.26,10.3,35.61,NA,NA,173.15,135.19,4.59,1.46,0.41,54.71,5.55,6,18.11,0.0065
-1.25,5.48,29.82,NA,44.16,191.05,132.32,5.36,1.7,-0.6,57.95,4.44,-6.58,13.99,-0.0484
-3.25,2.31,23.25,NA,30.63,195.27,124.13,6.67,1.59,-4.55,58.49,2.93,1.29,4.88,-0.123
2.42,14.88,21.06,11.4,29.02,179.23,134.28,7.7,1.58,4.02,56.63,2.95,-3.39,11.74,-0.0737
0.41,15.42,21.43,NA,NA,156.41,144.59,6.85,1.6,1.75,53.58,3.22,5.04,19.05,0.0443
2.98,16.01,27.91,NA,32.41,159.19,144.41,5.77,1.52,4.62,54.04,4.43,10.7,18.29,0.0777
0.7,13.78,36.67,NA,41.97,144.94,144.83,4.61,1.5,1.81,52.1,5.4,-8.11,17.89,0.0266
-1.35,11.11,37.12,NA,43.01,155.49,132.2,4.33,1.43,-0.46,53.13,4.71,-0.6,2.06,-0.0838
0.16,11.75,36.88,-61.41,44.5,161.43,132.74,4.74,1.36,0.67,53.6,4.86,-12.39,-1.94,-0.0295
1.99,10.25,36.8,-33.22,46.58,162.96,134.71,4.84,1.28,2,53.55,4.51,3.37,-3.36,-0.0244
-3.89,11.59,42.36,NA,54.06,176.86,130.61,4.84,1.23,-1.95,54.34,3.98,-3.5,-11.83,-0.0539
-6.46,4.68,42.96,-378.52,56.12,199.21,124.19,6.43,1.24,-3.43,57.78,3.48,-17.28,-27.72,0.1264
3.73,50.43,11.97,-25.25,6.12,233,132.18,NA,NA,45.41,31.89,3.03,NA,128.48,-0.1102
3.22,49.06,10.51,25.29,6.2,274.51,133.94,NA,NA,41.47,35.8,2.65,NA,130.25,-0.0057
2.84,43.1,10.72,14.98,NA,238.4,136.81,NA,NA,38.04,30.9,2.61,NA,133.1,0.0016
3.82,48.41,11.81,63.85,NA,149.61,139.31,NA,NA,39.83,22.65,3.45,NA,135.51,0.0788
3.11,47.14,11.47,-16.62,NA,145.38,140.19,NA,NA,37.25,21.88,3.31,NA,136.32,-0.0137
2.58,42.08,10.95,-19.88,NA,141.08,142.28,NA,NA,32.69,20.96,2.92,NA,138.27,0.0223
2.98,45.35,11.16,4.93,NA,123.78,144.94,NA,NA,35.46,18.46,3.17,NA,140.75,-0.0682
2.74,39.69,10.32,-28.17,NA,132.72,145.15,NA,NA,30.29,18.95,3.33,NA,140.92,-0.2416
3.15,42.38,10.41,1.29,NA,145.91,147.61,NA,NA,31.61,21.28,3.24,NA,143.36,-0.0195
3.4,41.87,10.88,31.78,NA,159.14,151.86,NA,NA,32.76,23.47,3.34,NA,147.62,0.0552
3.64,35.01,10.79,22.15,8.25,147.36,156.2,NA,NA,31.41,21.52,3.64,NA,151.84,-0.0272
3.19,29.18,10.89,16.31,NA,120.65,156.83,NA,NA,24.58,18,3.92,NA,152.21,0.1864
3.83,17.56,9.97,21.59,14.28,105.04,159.05,NA,NA,21.89,16.06,4.08,NA,154.46,-0.0149
3.67,18.16,8.72,7.94,13.56,58.83,168.48,NA,NA,21.96,10.1,4.34,NA,163.86,-0.1322
1.33,-6.14,5.45,-63.46,9.48,49.88,164.49,NA,NA,6.99,9.51,3.8,NA,159.77,-0.204
1.02,7.12,3.69,-68.03,NA,54.93,163.5,NA,NA,7.59,10.38,3.29,NA,158.77,-0.05
2.18,39.36,4.52,-43.08,5.98,46.25,160.63,NA,NA,19.51,7.81,2.92,NA,155.9,0.2367
1.95,24.02,4.26,-46.87,5.99,30.56,163.94,NA,NA,16.29,5.37,2.69,NA,158.97,0.0006
2.27,23.61,6.65,70.68,10.36,25.68,165.49,NA,NA,19.65,4.58,3.27,NA,160.36,-0.096
2.78,28.78,8.2,172.36,11.35,26.65,165.84,NA,NA,22.81,4.76,3.96,NA,160.45,-0.1091
3.61,40.43,8.68,65.6,12.86,26.62,162.42,NA,NA,29.76,4.61,4.81,NA,156.87,0.0982
4.67,45.33,10.28,139.49,18.48,36.28,164.72,NA,NA,36.78,5.89,6.07,NA,159.03,-0.0953
3.06,32.16,11.09,34.8,22.62,53.8,164.85,NA,NA,23.7,8.37,6.11,NA,158.91,-0.016
1.04,47.64,42.92,52.57,9.34,45.55,9.05,0.44,1.71,42.73,25.18,27.11,0.38,NA,0.2448
0.81,40.48,44.99,0.31,8.67,46.07,8.64,0.58,1.69,36.31,25.56,27.51,0.42,NA,0.0665
0.86,35.44,46.5,14.67,NA,51.67,8.26,0.68,1.47,30.41,27.57,27.99,0.58,NA,0.0147
0.25,19.53,42.81,-56.99,NA,47.84,8.84,0.43,1.69,22.18,26.28,27.88,0.69,8.83,-0.7509
1.07,42.88,40.69,3.13,NA,52.86,8.64,0.55,1.46,40.02,28.28,26.8,0.55,NA,-0.2594
0.84,32.38,40.47,3.7,NA,39.1,9.5,0.57,1.89,28.42,23.43,27.77,-0.1,NA,-0.109
0.16,17.5,32.84,-81.4,NA,41.96,9.69,0.73,1.87,9.91,25.6,21.98,-0.37,NA,0.0985
0.75,28.66,34.4,200.2,NA,51.26,9.39,0.88,1.26,28.88,28.81,22.25,-0.09,9.39,-0.1304
0.55,24.81,29.44,-48.6,NA,51.11,8.69,0.84,1.12,23.94,26.44,19.18,0.66,NA,-0.1627
0.84,27.5,26.18,0,NA,51.74,9.51,0.92,1.14,26.2,28.23,18.42,0.94,NA,-0.1086
0.61,20.05,27.46,281.25,11.86,46.11,10.07,0.74,1.27,23.99,26.85,21.38,0.63,NA,0.0448
0.26,17.9,24.08,-65.97,NA,42.28,10.41,0.72,1.54,10.76,25.9,17.02,0.45,10.41,0.0125
0.28,16.76,23.2,-49.09,19.11,53.54,9.44,1.14,1.29,16.39,29.85,15.91,-0.05,NA,-0.0398
0.25,25.82,16.13,-70.24,12.2,52.69,9.68,1.41,1.44,19.43,30.57,11.77,-0.04,NA,-0.1809
0.18,13.11,12.67,-70.49,12.64,49.26,9.86,1.43,1.26,10.4,29.05,8.59,0.4,NA,-0.0139
0.07,5.26,9.25,-72.62,NA,47.36,9.92,1.16,1.41,3.55,28.08,6.94,0.71,9.92,-0.1576
0.54,26.1,13.11,92.86,9,44.01,9.22,1.04,1.18,24.86,24.07,9.24,0.02,NA,0.1633
0.94,29.89,19.49,276,13.12,39.22,10.15,0.64,1.8,26.93,23.65,13.58,1.81,NA,0.0831
0.94,28.11,25.17,422.22,12.56,33.66,11.09,0.22,2.18,28.67,21.46,18.46,1.26,NA,0.0142
1.39,42.75,38.54,1886.49,18.64,33.23,10.73,0.29,1.85,41.03,21.15,27.91,1.01,10.73,0.4173
3.54,52.53,63.71,555.56,22.81,26,12.77,-0.13,1.87,51.71,15.8,47.88,2.71,NA,-0.0077
2.54,45.41,66.13,170.21,24.05,20.07,15.3,-0.3,2.98,46.96,14.28,53.08,3.34,NA,0.4266
2.39,47.09,68.33,154.26,25.22,15.96,17.69,-0.44,3.72,47.97,12.02,56.92,2.01,NA,0.2856
6.39,16.92,17.72,62.46,5.81,80.33,257.2,4.08,1.13,9.74,38.34,8.23,-11.26,235.88,0.0759
7.39,16.92,18.32,64.71,5.69,84.39,256.64,4.06,1.17,9.9,39.43,8.32,10.33,235.35,-0.0048
5.98,15.41,18.53,6.03,NA,83.55,264.44,3.99,1.23,8.52,39.21,8.24,-5.84,243.17,0.0794
7.58,14.4,18.69,-0.64,NA,78.67,272.4,3.68,1.21,7.68,37.19,8.26,18.3,251.16,0.0577
7.03,17.73,18.89,10.02,NA,77.72,278.56,3.85,1.41,9.64,37.24,8.21,-1.24,257.34,0.0738
7.99,17.32,19.68,8.12,NA,80.39,276.58,3.98,1.29,9.54,37.81,8.28,5.79,255.39,-0.0061
6.71,15.57,19.67,12.21,NA,81.45,284.03,4,1.33,8.5,38.05,8.23,-15.14,262.86,0.0527
9.05,13.98,19.67,19.42,NA,78.39,293.37,3.42,1.14,7.95,36.39,8.48,24.89,272.22,0.0215
8.87,17.86,19.64,26.17,NA,78.26,306.37,3.71,1.1,10.76,36.88,8.6,-9.2,285.25,-0.0111
10.26,17.9,20.56,28.41,NA,80.78,306.58,3.67,1.11,10.78,37.19,9,11.72,285.51,-0.0429
