Earnings per Share,Operating Margins,ROE,EPS Growth,Earnings Yield,Debt to Equity,Book Value Per Share,Net Debt to EBITDA,Current Ratio,Profit Margin,Total Debt to Total Asset,Return on Capital,FCF to Basic Share,Tangible Book value per Share,Performance
-17.89,9.83,22.26,34.74,NA,83.98,513.19,3.62,1.51,-14.82,31.79,6.68,12.52,486.66,0.017
10.14,16.98,20.48,-23.74,22.43,88.39,519.75,4.07,1.51,12.49,33.29,6.27,-40.74,491.29,-0.1166
1.53,8.7,9.48,-94.57,6.57,92.47,514.03,6.97,1.5,4.1,34.19,2.43,-15.53,483.48,-0.0859
4.96,10.74,7.27,-76.1,5.8,85.28,525.34,7.79,1.55,7.06,32.45,1.64,-8.38,495.05,0.4958
8.7,10.29,7.1,-89.64,NA,85.89,529.12,8.74,1.64,9.55,33.14,5.28,23.01,497.84,-0.058
8.07,12.37,6.21,-4.99,4.58,83.62,540.86,9.34,1.73,10.28,33.03,4.82,-8.52,506.78,-0.0172
8.03,11.95,7.35,240.83,5.02,87.41,550.85,8.88,1.7,9.25,36.04,5.37,4.47,516.41,-0.0076
13.9,19.96,8.83,357.01,6.03,97.14,559.63,8.51,1.75,16.72,39.33,5.83,-9.94,524.53,0.0099
12.66,15.82,9.89,1253.82,6.79,89.53,573.71,8.15,1.85,12.86,37.52,5.77,-5.37,538.01,0.0139
12.05,9.74,9.4,47.31,6.65,89.98,582.86,8.9,1.78,14.14,37.96,5.95,-8.31,547.14,-0.0073
13.12,16.87,10.56,55.22,9.94,90.52,577.45,8.62,1.8,13.61,37.92,6.44,-5.53,540.56,-0.0197
11.77,11.8,9.71,-15.32,9.02,98.02,581.38,9.71,1.94,11.1,39.59,6.24,-5.27,543.91,-0.1263
10.65,23.53,23.73,20.89,10.23,82.27,372.29,3.77,1.24,12.81,33.29,8.7,6.55,353.54,-0.0813
12.57,26.43,24.42,1.62,10.78,80.19,381.6,3.73,1.33,14.37,32.87,8.65,-13.18,358.48,-0.0361
12.64,28.05,26.14,41.23,NA,87.08,394.93,3.6,1.4,13.67,34.71,8.62,10.89,371.25,0.13
10.8,-5.19,17.6,-33.49,NA,85.29,401.02,5.1,1.39,12.76,34.32,8.46,-30.54,374.13,0.0524
11.81,27.41,19.17,10.89,NA,88.75,407.52,5.07,1.27,11.96,35.32,8.31,4.5,379.42,-0.0221
13.01,25.07,19.79,3.5,NA,92.99,417.52,5.24,1.23,11.93,36.73,8.36,4.73,390.4,-0.0109
11.87,20.74,17.6,-6.09,NA,90,445.08,5.44,1.31,11.61,36.25,8.01,1.19,419.02,0.0206
12.23,-10.22,16.34,10.5,NA,87.88,449.41,5.9,1.25,14.41,34.41,8.36,-10.19,423.16,0.0451
12.23,20.43,13.99,-4.4,NA,89.01,472.5,6.54,1.39,13.04,34.81,8.12,-3.64,439.14,-0.0123
46.83,53.77,19.08,250.88,NA,86.22,525.4,5.08,1.5,45.1,35.5,10.13,-43.39,498.75,0.045
12.73,18.82,17.66,7.22,10.09,77.48,532.97,4.83,1.43,13.05,32.65,10.33,-30.66,506.38,0.1215
-17.89,9.83,22.26,34.74,NA,83.98,513.19,3.62,1.51,-14.82,31.79,6.68,12.52,486.66,0.001
10.14,16.98,20.48,-23.74,22.43,88.39,519.75,4.07,1.51,12.49,33.29,6.27,-40.74,491.29,-0.0846
1.53,8.7,9.48,-94.57,6.57,92.47,514.03,6.97,1.5,4.1,34.19,2.43,-15.53,483.48,-0.0172
4.96,10.74,7.27,-76.1,5.8,85.28,525.34,7.79,1.55,7.06,32.45,1.64,-8.38,495.05,-0.0474
8.7,10.29,7.1,-89.64,NA,85.89,529.12,8.74,1.64,9.55,33.14,5.28,23.01,497.84,-0.066
8.07,12.37,6.21,-4.99,4.58,83.62,540.86,9.34,1.73,10.28,33.03,4.82,-8.52,506.78,0.1596
8.03,11.95,7.35,240.83,5.02,87.41,550.85,8.88,1.7,9.25,36.04,5.37,4.47,516.41,-0.0625
13.9,19.96,8.83,357.01,6.03,97.14,559.63,8.51,1.75,16.72,39.33,5.83,-9.94,524.53,-0.0217
12.66,15.82,9.89,1253.82,6.79,89.53,573.71,8.15,1.85,12.86,37.52,5.77,-5.37,538.01,-0.0781
12.05,9.74,9.4,47.31,6.65,89.98,582.86,8.9,1.78,14.14,37.96,5.95,-8.31,547.14,0.0711
13.12,16.87,10.56,55.22,9.94,90.52,577.45,8.62,1.8,13.61,37.92,6.44,-5.53,540.56,-0.0563
11.77,11.8,9.71,-15.32,9.02,98.02,581.38,9.71,1.94,11.1,39.59,6.24,-5.27,543.91,-0.127
1.42,44.67,17.44,26.19,7.18,35.37,38.93,NA,NA,34.82,3.56,11.19,NA,NA,-0.0509
1.23,37.99,15.94,-29.7,6.51,24.42,39.3,NA,NA,31.29,2.51,10.29,NA,NA,0.0707
1.21,39.24,15.95,13.51,NA,27.01,40.56,NA,NA,30.26,2.73,9.9,NA,NA,-0.045
1.22,43.96,16.59,15.25,NA,46.16,40.94,NA,NA,33.14,4.45,9.12,NA,40.94,-0.0857
1.41,42.91,15.82,-0.63,NA,34.76,42.94,NA,NA,33.86,3.49,9.17,NA,NA,0.0396
0.97,32.87,13.63,-20.95,NA,21.96,48.86,NA,NA,25.46,2.8,8.55,NA,NA,0.1499
1.22,40.02,13.68,0.51,NA,41.07,50.13,NA,NA,30.43,5.21,7.77,NA,NA,-0.1451
1.1,39.82,13.89,-11.4,NA,67.94,50.66,NA,NA,30.75,8.2,6.76,NA,50.66,-0.0704
1.37,39.12,13.8,-3.03,NA,54.56,52.35,NA,NA,29.5,6.81,7.2,NA,NA,0.1025
1.43,39.92,13.56,46.63,NA,53.09,52.92,NA,NA,30.34,6.54,NA,NA,NA,-0.1652
1.69,44.6,14.48,38.46,8.67,57.67,54.54,NA,NA,33.04,7.36,NA,NA,NA,-0.0776
1.38,42.42,14.81,26.43,NA,56.32,54.89,NA,NA,31.85,6.97,6.85,NA,54.89,0.2123
1.29,34.27,14.31,-5.37,13.6,53.03,55.45,NA,NA,25.87,6.68,NA,NA,55.45,-0.0595
1.08,18.87,12.53,-24.66,10.39,49.15,56.69,NA,NA,19.67,6.14,NA,NA,NA,0.0222
1.12,28.24,10.7,-33.83,10.22,54.45,57.72,NA,NA,22.32,7.1,NA,NA,NA,-0.0016
0.86,20.53,9.38,-33.6,NA,54.42,56.9,NA,NA,16.48,6.87,5.02,NA,56.9,-0.0558
1.02,36.56,9.47,-21.28,7.12,47.07,57.09,NA,NA,20.58,6.15,NA,NA,57.09,0.0536
1.39,36.26,10.54,28.81,7.43,46.03,58.13,NA,NA,28.63,6.09,NA,NA,58.13,0.0994
1.15,31.32,10.49,2.96,8.21,32.35,59.34,NA,NA,24.07,4.21,NA,NA,NA,0.0171
1.3,33.57,11.71,44.01,8.06,32.52,59.59,NA,NA,24.84,3.96,5.83,NA,59.59,-0.0891
1.62,40.51,12.03,59.46,7.77,36.68,61,NA,NA,31.48,4.66,NA,NA,61,0.107
2.53,51.17,14.51,82.85,11.19,27.13,61.83,NA,NA,38.61,3.37,NA,NA,NA,0.0695
2.05,43.85,16.04,78.5,12.01,28.07,63.72,NA,NA,33.87,3.5,NA,NA,NA,-0.0031
1.11,25.33,14.17,-1.28,7.02,32.5,52.77,NA,NA,19.54,3.83,7.82,NA,NA,0.1243
1.45,29.6,13.54,-14.51,6.33,36.79,54.07,NA,NA,23.26,4.31,7.52,NA,NA,-0.0198
1.38,29.17,14.03,7.93,NA,45.38,55.1,NA,NA,21.64,5.1,7.46,NA,NA,-0.0183
1.4,31.93,14.9,9.01,NA,43.74,55.76,NA,NA,22.43,4.89,7.53,NA,53.88,0.0121
1.06,24.65,13.38,-4.51,NA,50.49,56.01,NA,NA,17.77,5.41,6.82,NA,NA,0.2074
1.38,28.81,13.42,-4.6,NA,47.37,56.75,NA,NA,20.37,5,6.63,NA,NA,-0.0848
1.6,30.14,13.79,16.36,NA,47.57,58.28,NA,NA,21.75,5.08,6.57,NA,NA,0.0014
2.13,32.82,14.2,51.72,NA,43.77,61.39,NA,NA,26.98,4.75,7.25,NA,59.49,-0.057
1.79,30.48,15.49,69.29,NA,54.86,63.33,NA,NA,22.92,6.16,7.49,NA,NA,0.0658
1.98,31.85,16.26,42.77,NA,50.39,65.5,NA,NA,23.7,5.77,8.14,NA,NA,-0.038
2.28,33.71,16.93,42.19,8.89,49,67.96,NA,NA,25.91,5.77,8.64,NA,NA,0.0364
2.35,35.19,17.26,10.13,NA,51.16,69.19,NA,NA,25.49,5.95,8.56,NA,67.3,0.049
1.6,28.34,16.95,-10.7,13.11,53.37,69.49,NA,NA,19.18,6.04,7.89,NA,NA,0.1002
-0.85,-0.5,12.76,NA,10.54,48.78,68.57,NA,NA,-9.36,5.4,5.26,NA,NA,-0.0258
2.34,35.88,12.57,2.93,12.2,51.84,70.69,NA,NA,26.95,5.93,5.13,NA,NA,-0.2197
2.25,48.86,12.27,-4.21,NA,56.34,73.47,NA,NA,33.62,6.56,4.81,NA,71.53,-0.0646
1.91,28.26,12.23,19.27,10.46,51.7,74.91,NA,NA,21.92,6.1,NA,NA,NA,0.0208
2.1,27.83,15.58,NA,12.08,49.44,77.14,NA,NA,23.6,5.89,NA,NA,NA,0.0527
2.09,29.89,14.63,-10.68,11.93,49.31,78.97,NA,NA,23.01,5.88,NA,NA,NA,0.0386
1.99,44.87,13.87,-11.6,10.56,51,79.39,NA,NA,30.86,5.98,6.83,NA,77.16,-0.0304
2.17,29.65,14.04,13.54,9.88,56.18,80.39,NA,NA,23.2,6.58,NA,NA,NA,0.0669
2.32,30.04,14.5,10.32,12.49,49.28,80.92,NA,NA,22.97,5.61,NA,NA,NA,0.0881
3.05,34.84,15.49,45.82,13.55,41.17,83.11,NA,NA,27.89,4.74,NA,NA,NA,-0.0218
0.31,34.89,30.32,34.78,13.71,46.68,5.37,0.57,2.51,21.6,24.35,16.65,0.21,5.25,0.2029
0.27,29.67,32.1,8,11.36,45.51,5.27,0.82,2.67,19.65,24.63,16.97,0.13,5.15,-0.2092
0.31,27.47,31.83,19.23,NA,44.54,5.6,0.76,2.57,19.06,24.11,17.18,0.19,5.48,0.1641
0.26,17.36,30.46,20.01,NA,42.21,5.75,0.47,2.6,14.26,23,17.36,0.53,5.62,0.0645
0.32,32.34,30.26,3.23,NA,45.01,5.59,0.43,2.2,20.93,23.34,17.26,0.33,5.46,-0.1243
0.36,24.57,30.13,32.33,NA,38.04,5.95,0.64,2.6,19.85,21.44,18.2,0,5.83,-0.088
0.14,13.47,24.11,-54.84,NA,38.29,6.12,0.69,2.6,11.9,21.97,15,0.08,6,-0.038
0.23,17.19,23.86,-11.11,NA,42.77,5.92,0.93,2.12,13.45,22.76,14.89,-0.06,5.79,0.0722
0.22,17.96,19.85,-31.25,NA,42.66,6.13,1,2.21,13.94,22.48,13,0.14,6.01,0.097
0.28,20.87,18.59,-21.16,NA,47.39,5.94,1.26,1.98,15.32,24.17,12.03,0.28,5.81,-0.1219
0.21,13.61,19.05,50,14.05,49.49,6.14,1.22,2.05,12.79,25.39,12.95,-0.05,6.01,-0.1516
0.09,18.14,19.32,-59.55,NA,45.75,6.21,1.03,2.18,5.68,23.43,11.24,0.36,6.2,-0.1656
0.05,2.65,15.68,-77.27,24.76,55.3,5.77,1.48,1.8,4.36,25.34,9.41,-0.32,5.77,-0.2093
0.11,16.61,11.79,-60.95,16.99,54.33,5.88,2.15,2.11,12.06,26.43,6.89,-0.01,5.88,-0.1106
0.14,11.88,10.38,-33.33,15.78,52.58,6.02,2.14,2.11,10.4,25.71,5.39,0.17,6.02,-0.0791
0.15,10.05,8.36,59.12,NA,51.34,6.15,2.2,2.31,8.19,25.42,5.55,0.33,6.14,0.0309
0.32,21.9,15.01,540,15.9,51.84,5.99,1.61,1.98,17.78,24,8.46,0.01,5.99,0.1975
0.39,20.85,19.62,254.55,19.13,53.08,6.38,1.47,2.39,17.58,25.94,11.37,0.04,6.38,0.0782
0.3,20.32,22.75,114.29,20.36,50.53,6.68,1.13,2.37,15.15,25.47,13.44,0.52,6.68,0.0621
0.37,27.51,29.03,152.39,24.02,48.75,6.61,1.04,2.25,17.37,24.66,16.97,0.5,6.61,0.1214
0.85,40.9,41.73,165.63,31.07,43.4,7.46,0.53,2.52,25.73,22.91,24.06,1.08,7.46,0.0615
0.68,35.11,47.51,74.36,37.82,41.97,7.66,0.31,2.79,23.95,22.94,26.46,0.92,7.66,0.1599
0.55,33.78,50.59,83.33,38.09,38.65,8.21,0.21,3.16,22.35,21.99,28.39,0.33,8.21,0.1222
0.09,20.77,19.25,0,10.02,48.77,3.15,1.24,2.78,16.68,25.66,10.27,0.05,1.55,0.0689
0.07,17.95,17.28,-46.15,7.36,51.99,3.23,1.85,3.66,13.16,28.2,9.1,-0.12,1.63,-0.0689
0.11,22.04,18,22.22,NA,52.21,3.3,1.92,3.64,18.45,28.24,11.08,-0.05,1.7,-0.0727
0.12,17.34,14.93,-32.34,NA,65.38,3.56,3.1,3.03,12.44,34.2,7.43,-0.16,1.72,-0.0419
0.1,19.81,14.82,11.11,NA,55.23,3.77,2.39,3.01,16.27,29.03,7.8,0.11,1.81,-0.0474
0.1,19.55,15.25,41.99,NA,15.83,3.73,0.17,3.01,16.45,8.37,9.43,-0.12,1.78,0.0676
0.12,20.83,15.16,9.58,NA,55.27,3.88,2.84,3.02,17.61,29.63,8.11,-0.08,1.91,0.0985
0.1,18.88,15.66,-17.81,NA,64,3.78,3.08,2.77,9.23,33.33,7.6,0.01,1.89,-0.0116
0.11,20.12,15.4,10,NA,52.53,4.01,2.22,2.73,15.76,27.84,7.97,0.15,2.09,-0.026
0.09,17.02,15.35,-4.8,NA,17.44,4.01,0.44,2.92,14.51,9.42,10.58,-0.09,2.13,-0.0609
0.13,22.03,15.52,5.53,8.69,49.49,4.15,2.36,2.89,16.33,26.9,8.09,0.03,2.26,-0.0099
0.09,14.34,14.9,-3.83,NA,60.64,4.05,2.91,2.24,8.2,31.13,7.29,0.24,2.22,0.0276
0.09,17.47,13.93,-18.18,7.02,54.52,4.15,2.55,2.68,13.68,30.13,7.16,0.11,2.39,-0.0047
